7000 6128
0 157 1
0 1435 1
0 1567 1
0 2802 1
0 4557 1
1 1206 1
2 835 1
2 1556 1
2 5104 1
3 1407 1
3 2408 1
3 2879 1
4 1435 1
4 5526 1
4 5788 1
5 887 1
5 2610 1
5 3941 1
6 3946 1
7 1330 1
7 1407 1
7 5528 1
8 988 1
8 5445 1
8 5849 1
9 2047 1
9 2463 1
9 4817 1
9 4930 1
9 5329 1
10 3523 1
10 4917 1
10 5849 1
11 184 1
11 718 1
11 4755 1
12 974 1
12 5091 1
12 5439 1
13 210 1
13 2151 1
13 2351 1
14 411 1
15 1405 1
15 1435 1
15 3586 1
16 1594 1
16 5104 1
17 636 1
17 1032 1
18 988 1
18 3934 1
18 4446 1
18 5445 1
19 562 1
19 1017 1
19 1435 1
19 4787 1
19 4864 1
20 2775 1
20 3688 1
20 4849 1
21 1123 1
21 1407 1
21 5849 1
22 554 1
22 2954 1
22 5840 1
23 4253 1
24 1123 1
24 1407 1
24 3462 1
24 6015 1
25 1869 1
26 1707 1
26 1768 1
26 5890 1
27 2270 1
27 3157 1
27 5218 1
28 485 1
28 2433 1
28 4273 1
28 6023 1
29 183 1
29 2311 1
29 3156 1
30 2247 1
30 3910 1
30 4421 1
30 4562 1
30 5772 1
31 1407 1
31 3435 1
32 1407 1
32 3222 1
32 3697 1
33 3993 1
33 5787 1
34 636 1
34 2070 1
35 1335 1
35 1417 1
35 3001 1
36 2768 1
37 2512 1
38 1311 1
38 4605 1
38 5609 1
39 485 1
39 1269 1
39 1407 1
39 5332 1
39 5609 1
40 937 1
40 4997 1
41 1206 1
41 1435 1
41 3577 1
42 324 1
42 2505 1
42 5243 1
43 2430 1
43 4434 1
43 4441 1
43 4688 1
44 4331 1
44 5172 1
44 5560 1
44 5849 1
45 397 1
45 3910 1
46 1949 1
46 5146 1
47 96 1
47 883 1
47 1431 1
48 1739 1
48 2096 1
48 4469 1
48 4578 1
48 4997 1
49 177 1
49 2371 1
49 4991 1
49 5371 1
50 3775 1
50 5257 1
51 1535 1
51 3283 1
51 5064 1
52 1087 1
52 2073 1
52 5655 1
53 706 1
54 146 1
54 1206 1
54 3546 1
54 4337 1
55 278 1
55 4192 1
56 5218 1
57 1149 1
57 3004 1
57 3481 1
58 264 1
58 1407 1
58 3610 1
58 3856 1
58 4215 1
59 346 1
59 2428 1
59 4618 1
60 562 1
60 1407 1
60 2997 1
60 5849 1
61 5009 1
61 5849 1
62 3018 1
62 5905 1
63 2232 1
63 3376 1
63 4224 1
63 5895 1
64 1330 1
64 2688 1
65 988 1
66 636 1
66 1407 1
66 5375 1
66 5849 1
67 2997 1
67 5609 1
68 3553 1
69 1614 1
69 2595 1
69 4337 1
70 988 1
70 1675 1
70 1835 1
70 2243 1
71 941 1
71 1407 1
71 5254 1
71 5710 1
